StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
Western Juniper Woodland & Savannah,Tr Ann Gr:Open,,Ann Gr:Open,Replacement Fire,0.0060,,,,,Yes,,,
Western Juniper Woodland & Savannah,Tr Ann Gr:Open,,Ann Gr:Open,Wind/Weather/Stress,0.0005,,,,,Yes,,,
Western Juniper Woodland & Savannah,Tr Ann Gr:Open,,Tr Ann Gr:Open,Wind/Weather/Stress,0.0015,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Ann Gr Mono:Open,,Ann Gr Mono:Open,Replacement Fire,0.1000,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Ann Gr Mono:Open,,Seeded:Open,Restoration Annual Grass Threshold,0.0001,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Ann Gr:Open,,Ann Gr Mono:Open,Replacement Fire,0.1000,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Ann Gr:Open,,Ann Gr Mono:Open,Wind/Weather/Stress,0.0130,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Ann Gr:Open,,Seeded:Open,Restoration Annual Grass,0.0100,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Ann Gr:Open,,Sh Ann Gr:Closed,AltSuccession,0.0010,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Crst Wht Gr:Open,,Ann Gr:Open,Excessive-Herbivory,0.0001,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Crst Wht Gr:Open,,Crst Wht Gr:Open,Replacement Fire,0.0010,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Crst Wht Gr:Open,,Early:Open,CWG-Restoration,0.0010,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Crst Wht Gr:Open,,Early:Open,CWG-Restoration,0.0010,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Early:Open,,Ann Gr:Open,Annual Grass Invasion,0.0010,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Early:Open,,Ann Gr:Open,Excessive-Herbivory,0.0010,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Early:Open,,Early:Open,Replacement Fire,0.0500,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Early:Open,,Early:Open,Wind/Weather/Stress,0.0100,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Early:Open,REF-Restoration L,0.0010,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Early:Open,Replacement Fire,0.0500,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Early:Open,Wind/Weather/Stress,0.0002,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Mid:Open,Insect/Disease,0.0130,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Mid:Open,Restoration Depleted Sage H,0.0100,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Mid:Open,Wind/Weather/Stress,0.0080,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0005,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0008,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Sh Dpl:Closed,AltSuccession,0.0050,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Late:Closed,,Sh Dpl:Closed,Excessive-Herbivory,0.0003,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Mid:Open,,Early:Open,Replacement Fire,0.0500,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Mid:Open,,Mid:Open,Wind/Weather/Stress,0.0100,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Mid:Open,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0008,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Mid:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0008,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Mid:Open,,Sh Dpl:Closed,Excessive-Herbivory,0.0003,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Seeded:Open,,Ann Gr:Open,Excessive-Herbivory,0.0010,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Seeded:Open,,Early:Open,AltSuccession,0.0000,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Seeded:Open,,Seeded:Open,Replacement Fire,0.0020,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Seeded:Open,,Seeded:Open,SENN-Maintenance,0.0100,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Sh Ann Gr:Closed,,Ann Gr Mono:Open,Replacement Fire,0.2000,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Ann Gr:Closed,,Crst Wht Gr:Open,CWG-SEED,0.0010,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Ann Gr:Closed,,Seeded:Open,Restoration Annual Grass,0.0100,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed,,Ann Gr:Open,Annual Grass Invasion,0.0010,,,,,No,,,
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed,,Ann Gr:Open,Replacement Fire,0.0100,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed,,Early:Open,Restoration Depleted Sage H,0.0023,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed,,Early:Open,Restoration Depleted Sage H,0.0077,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed,,Seeded:Open,Restoration Depleted Sage L,0.0100,,,,,Yes,,,
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0010,,,,,No,,,
