StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
Curleaf Mountain Mahogany,Late:Open,,Tr Enc:Open,Tree Encroachment,0.0200,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid 2:Open,,Early:Open,Replacement Fire,0.0030,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid 2:Open,,Late:Closed,AltSuccession,0.0050,,,,,No,,,
Curleaf Mountain Mahogany,Mid 2:Open,,Mid 2:Open,Surface Fire,0.0250,,,,,No,,,
Curleaf Mountain Mahogany,Mid 2:Open,,Tr Ann Gr:Closed,Annual Grass Invasion,0.0010,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid 2:Open,,Tr Ann Gr:Closed,Excessive-Herbivory,0.0020,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid 2:Open,,Tr Enc:Open,Tree Encroachment,0.0200,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid:Closed,,Early:Open,Replacement Fire,0.0080,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid:Closed,,Mid:Closed,Native Grazing,0.0020,,,,,No,,,
Curleaf Mountain Mahogany,Mid:Open,,Early:Open,Replacement Fire,0.0050,,,,,Yes,,,
Curleaf Mountain Mahogany,Mid:Open,,Mid:Closed,Native Grazing,0.0020,,,,,Yes,,,
Curleaf Mountain Mahogany,Seeded:Open,,Ann Gr:Open,Excessive-Herbivory,0.0080,,,,,Yes,,,
Curleaf Mountain Mahogany,Seeded:Open,,Early:Open,AltSuccession,0.0000,,,,,No,,,
Curleaf Mountain Mahogany,Seeded:Open,,Seeded:Open,Replacement Fire,0.0020,,,,,Yes,,,
Curleaf Mountain Mahogany,Tr Ann Gr:Closed,,Ann Gr:Open,Replacement Fire,0.0010,,,,,Yes,,,
Curleaf Mountain Mahogany,Tr Enc:Open,,Early:Open,Replacement Fire,0.0080,,,,,Yes,,,
Curleaf Mountain Mahogany,Tr Enc:Open,,Late:Open,Restoration Tree Encroached L,0.0200,,,,,No,,,
Curleaf Mountain Mahogany,Tr Enc:Open,,Tr Ann Gr:Closed,Excessive-Herbivory,0.0050,,,,,Yes,,,
Low Sagebrush,Ann Gr:Open,,Early:Open,Restoration Annual Grass,0.0100,,,,,Yes,,,
Low Sagebrush,Ann Gr:Open,,Sh Ann Gr:Closed,AltSuccession,0.0060,,,,,No,,,
Low Sagebrush,Early:Open,,Early:Open,Replacement Fire,0.0040,,,,,Yes,,,
Low Sagebrush,Early:Open,,Early:Open,Wind/Weather/Stress,0.0050,,,,,No,,,
Low Sagebrush,Early:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0020,,,,,Yes,,,
Low Sagebrush,Late:Closed,,Late:Closed,Surface Fire,0.0200,,,,,No,,,
Low Sagebrush,Late:Closed,,Late:Closed,Wind/Weather/Stress,0.0005,,,,,No,,,
Low Sagebrush,Late:Closed,,Mid:Open,Insect/Disease,0.0050,,,,,Yes,,,
Low Sagebrush,Late:Closed,,Mid:Open,Wind/Weather/Stress,0.0045,,,,,Yes,,,
Low Sagebrush,Late:Closed,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0040,,,,,Yes,,,
Low Sagebrush,Late:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0010,,,,,Yes,,,
